lga_2016,total_families,total_weekly_incomes,total_annual_incomes
20910,22066,8544748,444630527
21010,3190,455380,23774366
21110,36252,14550494,757147136
21180,43104,6918391,360941985
21270,1317,175880,9185776
21370,8202,1312384,68484379
21450,21670,3971059,207042265
21610,68337,12442190,648726111
21670,2938,387203,20230581
21750,4499,706621,36875766
21830,3381,616350,32144195
21890,31094,6295089,328036152
22110,10005,1439693,75174147
22170,30592,5466685,285030938
22250,2367,354273,18496371
22310,31111,8592659,447366348
22410,4322,731615,38164941
22490,5051,902769,47074711
22620,24842,4111233,214464326
22670,32779,4947366,258226505
22750,52432,9349219,487485427
22830,13612,2319532,120989197
22910,3404,542873,28328275
22980,1255,183254,9567984
23110,20617,4565324,237828406
23190,4431,781353,40756283
23270,43843,7490085,390640622
23350,3695,672086,35045387
23430,35455,7513990,391470153
23670,36849,7152586,372773966
23810,16280,2776865,144827719
23940,1553,211266,11034372
24130,10582,2230338,116200894
24210,27749,7083235,368909971
24250,1737,262226,13686385
24330,17554,3688316,192154185
24410,25911,5202555,271094963
24600,20571,5432357,282856814
24650,30364,5416560,282411826
24780,11684,1893148,98782150
24850,9050,1581835,82488424
24900,6412,1038802,54209521
24970,40195,8974191,467523023
25060,26255,6656780,346650140
25150,7352,1312820,68445825
25250,34827,6988254,364141516
25340,35583,7001637,364969235
25430,4050,613262,32008561
25490,3710,723598,37729886
25620,2978,492461,25693174
25710,14538,3769830,196277902
25810,2551,360070,18801876
25900,20295,6287025,327213464
25990,1489,200624,10480579
26080,657,115172,6004694
26170,6480,1039225,54226413
26260,3560,591959,30885819
26350,21134,8471070,440791592
26430,2276,407259,21244145
26490,6491,1390904,72469780
26610,4131,740453,38623423
26670,1341,246940,12879965
26700,6387,1021815,53312964
26730,7379,1307974,68211839
26810,9219,1573953,82097968
26890,846,127742,6667692
26980,36168,8080267,420914184
27070,46174,7825025,408102215
27170,8818,1461683,76241059
27260,49954,9155992,477314640
27350,17162,5060697,263406821
27450,35175,6831157,356056019
27630,1427,225279,11758487
29399,70,10336,539494
29799,0,0,0
30250,266,25350,1325996
30300,903,146836,7659591
30370,3065,624870,32559344
30410,576,96120,5014090
30450,46,8204,427700
30760,386,57610,3006900
30900,50,7116,371800
31000,249069,62570240,3258445867
31750,70,11386,594100
31820,21921,3285375,171504510
31900,3845,678471,35383812
31950,41,6056,315900
32080,33368,5992500,312451805
32250,355,89687,4672204
32260,6304,957549,49981040
32270,5469,1291341,67255925
32310,2258,382074,19931158
32330,273,29580,1546996
32450,510,106134,5527600
32500,687,104020,5427495
32600,41,8152,425100
32750,35,6710,349700
32770,265,25964,1358494
32810,2329,420057,21909322
33100,116,20488,1068600
33200,296,48136,2511597
33220,24013,3300009,172356855
33360,13732,2784004,145053893
33430,125564,24462260,1275152663
33610,2244,398515,20784381
33620,11493,1658106,86583823
33800,2494,422270,22028052
33830,175,17564,919100
33960,43546,7449426,388506141
33980,3864,958787,49914354
34420,247,26354,1378000
34530,7774,1415020,73771489
34570,62,6368,332800
34580,8513,1382001,72107061
34590,68966,11760640,613367000
34710,725,124548,6494790
34770,24658,4880309,254337963
34800,109,57878,3012969
34830,37,4576,239200
34860,2533,524527,27337250
34880,4380,699781,36514792
35010,101493,18507057,964908153
35250,214,26310,1374097
35300,3835,874642,45539853
35600,895,149936,7819488
35670,216,26328,1375396
35740,12504,2103419,109723397
35760,2169,336687,17573380
35780,571,72104,3766097
35790,495,56630,2958800
35800,323,46510,2428393
36070,176,18204,951596
36150,156,25914,1351997
36250,35962,7239005,377247771
36300,136,20452,1067300
36370,17377,3083377,160786516
36510,9321,1539149,80295315
36580,5597,847380,44228121
36630,7425,1105759,57729054
36660,8025,1197551,62526046
36720,69279,12414524,647395805
36820,5483,891031,46494437
36910,36250,6571597,342671602
36950,490,89298,4653997
36960,863,92100,4816487
37010,40377,7549559,393547960
37300,787,196744,10238800
37310,6882,1213497,63282217
37340,6462,1173962,61219572
37400,213,34584,1804395
37550,194,18478,967197
37570,57,4616,241800
37600,516,54982,2875592
39799,0,0,0
40070,3116,885769,46117918
40120,9348,2161842,112605985
40220,6214,874742,45676757
40250,448,45770,2391997
40310,5693,1086662,56655277
40430,615,123930,6463166
40520,2417,348330,18184373
40700,9991,3332215,173445172
40910,11943,2205665,114987538
41010,665,114824,5986497
