lga_2016,state,industry_people,industry_type,industry_type_full,lga_total_industry_people
35010,3,11380,hospitality,accommodation_and_food_services,189495
35250,3,0,hospitality,accommodation_and_food_services,314
35300,3,476,hospitality,accommodation_and_food_services,9108
35600,3,108,hospitality,accommodation_and_food_services,2046
35670,3,0,hospitality,accommodation_and_food_services,153
35740,3,2687,hospitality,accommodation_and_food_services,22007
35760,3,183,hospitality,accommodation_and_food_services,4334
35780,3,30,hospitality,accommodation_and_food_services,804
35790,3,14,hospitality,accommodation_and_food_services,487
35800,3,41,hospitality,accommodation_and_food_services,720
36070,3,4,hospitality,accommodation_and_food_services,212
36150,3,29,hospitality,accommodation_and_food_services,452
36250,3,3893,hospitality,accommodation_and_food_services,70168
36300,3,19,hospitality,accommodation_and_food_services,434
36370,3,2469,hospitality,accommodation_and_food_services,34314
36510,3,1164,hospitality,accommodation_and_food_services,16926
36580,3,401,hospitality,accommodation_and_food_services,9270
36630,3,654,hospitality,accommodation_and_food_services,11656
36660,3,1070,hospitality,accommodation_and_food_services,14094
36720,3,10923,hospitality,accommodation_and_food_services,129641
36820,3,608,hospitality,accommodation_and_food_services,9654
36910,3,4226,hospitality,accommodation_and_food_services,71188
36950,3,71,hospitality,accommodation_and_food_services,1379
36960,3,5,hospitality,accommodation_and_food_services,974
37010,3,6581,hospitality,accommodation_and_food_services,86449
37300,3,108,hospitality,accommodation_and_food_services,2152
37310,3,844,hospitality,accommodation_and_food_services,14418
37340,3,2483,hospitality,accommodation_and_food_services,15681
37400,3,39,hospitality,accommodation_and_food_services,572
37550,3,3,hospitality,accommodation_and_food_services,193
37570,3,0,hospitality,accommodation_and_food_services,64
37600,3,3,hospitality,accommodation_and_food_services,343
39499,3,381,hospitality,accommodation_and_food_services,3087
39799,3,3,hospitality,accommodation_and_food_services,60
40070,4,1191,hospitality,accommodation_and_food_services,9275
40120,4,992,hospitality,accommodation_and_food_services,19510
40220,4,709,hospitality,accommodation_and_food_services,10077
40250,4,0,hospitality,accommodation_and_food_services,512
40310,4,744,hospitality,accommodation_and_food_services,11167
40430,4,58,hospitality,accommodation_and_food_services,911
40520,4,297,hospitality,accommodation_and_food_services,4311
40700,4,1312,hospitality,accommodation_and_food_services,20125
40910,4,1522,hospitality,accommodation_and_food_services,22950
41010,4,85,hospitality,accommodation_and_food_services,1531
41060,4,3539,hospitality,accommodation_and_food_services,51718
41140,4,300,hospitality,accommodation_and_food_services,4148
41190,4,30,hospitality,accommodation_and_food_services,846
41330,4,95,hospitality,accommodation_and_food_services,643
41560,4,385,hospitality,accommodation_and_food_services,4960
41750,4,39,hospitality,accommodation_and_food_services,496
41830,4,63,hospitality,accommodation_and_food_services,688
41960,4,40,hospitality,accommodation_and_food_services,533
42030,4,597,hospitality,accommodation_and_food_services,9847
42110,4,105,hospitality,accommodation_and_food_services,1695
42250,4,200,hospitality,accommodation_and_food_services,3867
42600,4,1223,hospitality,accommodation_and_food_services,16922
42750,4,254,hospitality,accommodation_and_food_services,2166
43080,4,8,hospitality,accommodation_and_food_services,478
43220,4,19,hospitality,accommodation_and_food_services,526
43360,4,66,hospitality,accommodation_and_food_services,1050
43650,4,419,hospitality,accommodation_and_food_services,7309
43710,4,130,hospitality,accommodation_and_food_services,2536
43790,4,221,hospitality,accommodation_and_food_services,4989
43920,4,160,hospitality,accommodation_and_food_services,4106
44000,4,0,hospitality,accommodation_and_food_services,8
44060,4,3051,hospitality,accommodation_and_food_services,41862
44210,4,234,hospitality,accommodation_and_food_services,3287
44340,4,1904,hospitality,accommodation_and_food_services,30924
44550,4,1042,hospitality,accommodation_and_food_services,16379
44620,4,892,hospitality,accommodation_and_food_services,11612
44830,4,56,hospitality,accommodation_and_food_services,1252
45040,4,479,hospitality,accommodation_and_food_services,8470
45090,4,190,hospitality,accommodation_and_food_services,4236
45120,4,80,hospitality,accommodation_and_food_services,1993
45290,4,1344,hospitality,accommodation_and_food_services,16962
45340,4,4498,hospitality,accommodation_and_food_services,74900
45400,4,15,hospitality,accommodation_and_food_services,398
45540,4,54,hospitality,accommodation_and_food_services,493
45680,4,1937,hospitality,accommodation_and_food_services,32648
45890,4,3902,hospitality,accommodation_and_food_services,52263
46090,4,497,hospitality,accommodation_and_food_services,5306
46300,4,431,hospitality,accommodation_and_food_services,6127
46450,4,461,hospitality,accommodation_and_food_services,6507
46510,4,721,hospitality,accommodation_and_food_services,10598
46670,4,310,hospitality,accommodation_and_food_services,4068
46860,4,111,hospitality,accommodation_and_food_services,677
46970,4,113,hospitality,accommodation_and_food_services,2199
47140,4,3573,hospitality,accommodation_and_food_services,57408
47290,4,31,hospitality,accommodation_and_food_services,978
47490,4,60,hospitality,accommodation_and_food_services,988
47630,4,128,hospitality,accommodation_and_food_services,3426
