DATAFLOW,MEASURE,REGIONTYPE,LGA_2018,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,15650,A,2016,18,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,15700,A,2016,16.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,15750,A,2016,17.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,15800,A,2016,18.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,15850,A,2016,24.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,15900,A,2016,14.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,15950,A,2016,7.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,15990,A,2016,12.4,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16100,A,2016,21.3,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16150,A,2016,10.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16200,A,2016,16.3,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16260,A,2016,14,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16350,A,2016,20.8,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16380,A,2016,12.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16400,A,2016,25,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16490,A,2016,17.6,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16550,A,2016,8.9,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16610,A,2016,18.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16700,A,2016,11.4,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16900,A,2016,22.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,16950,A,2016,21.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17000,A,2016,25.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17040,A,2016,23.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17080,A,2016,15.2,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17100,A,2016,11.9,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17150,A,2016,17.3,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17200,A,2016,6.4,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17310,A,2016,13,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17350,A,2016,15.8,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17400,A,2016,25,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17420,A,2016,16.8,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17550,A,2016,18.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17620,A,2016,23.8,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17640,A,2016,35.4,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17650,A,2016,19.9,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17750,A,2016,10.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17850,A,2016,21.2,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17900,A,2016,33.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,17950,A,2016,26.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,18020,A,2016,24.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,18050,A,2016,8.2,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,18100,A,2016,21.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,18200,A,2016,19.9,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,18250,A,2016,8.6,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,18350,A,2016,27.3,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,18400,A,2016,32.8,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,18450,A,2016,21.4,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,18500,A,2016,7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,18710,A,2016,32,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,19399,A,2016,37,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,20110,A,2016,20,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,20260,A,2016,16.1,KM,,,
