DATAFLOW,MEASURE,REGIONTYPE,LGA_2018,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11250,A,2014,4545,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11250,A,2015,4749,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11250,A,2016,4663,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11250,A,2017,4683,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11300,A,2013,9803,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11300,A,2014,10548,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11300,A,2015,11135,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11300,A,2016,11747,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11300,A,2017,11857,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11350,A,2013,7993,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11350,A,2014,8977,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11350,A,2015,9602,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11350,A,2016,10119,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11350,A,2017,10396,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11400,A,2013,4161,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11400,A,2014,4464,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11400,A,2015,4585,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11400,A,2016,4568,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11400,A,2017,4894,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11450,A,2013,19820,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11450,A,2014,22274,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11450,A,2015,24794,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11450,A,2016,27279,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11450,A,2017,29548,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11500,A,2013,28896,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11500,A,2014,30618,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11500,A,2015,32278,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11500,A,2016,33846,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11500,A,2017,34556,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11520,A,2013,33168,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11520,A,2014,35498,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11520,A,2015,37380,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11520,A,2016,38806,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11520,A,2017,39542,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11570,A,2013,65352,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11570,A,2014,71195,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11570,A,2015,75399,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11570,A,2016,78967,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11570,A,2017,81096,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11600,A,2013,831,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11600,A,2014,949,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11600,A,2015,989,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11600,A,2016,953,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11600,A,2017,1089,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11650,A,2013,85159,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11650,A,2014,91009,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11650,A,2015,96051,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11650,A,2016,99032,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11650,A,2017,101296,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11700,A,2013,324,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11700,A,2014,344,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11700,A,2015,352,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11700,A,2016,293,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11700,A,2017,311,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11720,A,2013,13106,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11720,A,2014,13897,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11720,A,2015,14636,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11720,A,2016,15090,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11720,A,2017,15337,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11730,A,2013,10120,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11730,A,2014,11408,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11730,A,2015,12041,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11730,A,2016,12621,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11730,A,2017,12743,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11750,A,2013,1344,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11750,A,2014,1469,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11750,A,2015,1541,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11750,A,2016,1599,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11750,A,2017,1602,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11800,A,2013,17277,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11800,A,2014,19299,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11800,A,2015,20581,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11800,A,2016,21289,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11800,A,2017,21755,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,12000,A,2013,1359,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,12000,A,2014,1436,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,12000,A,2015,1501,NUM,,,
