DATAFLOW,MEASURE,REGIONTYPE,LGA_2018,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2002,593,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2003,584,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2004,583,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2005,574,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2006,561,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2007,607,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2008,680,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2009,773,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2010,852,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2011,930,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2012,880,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2013,830,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2014,762,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2015,696,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2016,630,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2017,617,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2018,596,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2001,10510,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2002,11245,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2003,11729,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2004,12730,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2005,13939,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2006,15232,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2007,16407,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2008,17905,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2009,19898,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2010,20764,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2011,21416,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2012,23066,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2013,24317,PSNS,,
