lga_2016,state,people,report_type,weekly_range_start,weekly_range_end,annual_range_start,annual_range_end
24650,2,2116,value,1000,1249,52000,64999
24780,2,1125,value,1000,1249,52000,64999
24850,2,699,value,1000,1249,52000,64999
24900,2,625,value,1000,1249,52000,64999
24970,2,2659,value,1000,1249,52000,64999
25060,2,1485,value,1000,1249,52000,64999
25150,2,521,value,1000,1249,52000,64999
25250,2,2300,value,1000,1249,52000,64999
25340,2,2899,value,1000,1249,52000,64999
25430,2,409,value,1000,1249,52000,64999
25490,2,316,value,1000,1249,52000,64999
25620,2,242,value,1000,1249,52000,64999
25710,2,659,value,1000,1249,52000,64999
25810,2,269,value,1000,1249,52000,64999
25900,2,727,value,1000,1249,52000,64999
25990,2,152,value,1000,1249,52000,64999
26080,2,74,value,1000,1249,52000,64999
26170,2,688,value,1000,1249,52000,64999
26260,2,353,value,1000,1249,52000,64999
26350,2,749,value,1000,1249,52000,64999
26430,2,214,value,1000,1249,52000,64999
26490,2,399,value,1000,1249,52000,64999
26610,2,377,value,1000,1249,52000,64999
26670,2,128,value,1000,1249,52000,64999
26700,2,641,value,1000,1249,52000,64999
26730,2,642,value,1000,1249,52000,64999
26810,2,846,value,1000,1249,52000,64999
26890,2,96,value,1000,1249,52000,64999
26980,2,2340,value,1000,1249,52000,64999
27070,2,3533,value,1000,1249,52000,64999
27170,2,706,value,1000,1249,52000,64999
27260,2,3676,value,1000,1249,52000,64999
27350,2,648,value,1000,1249,52000,64999
27450,2,2541,value,1000,1249,52000,64999
27630,2,151,value,1000,1249,52000,64999
29399,2,11,value,1000,1249,52000,64999
29799,2,0,value,1000,1249,52000,64999
30250,3,23,value,1000,1249,52000,64999
30300,3,75,value,1000,1249,52000,64999
30370,3,188,value,1000,1249,52000,64999
30410,3,41,value,1000,1249,52000,64999
30450,3,4,value,1000,1249,52000,64999
30760,3,36,value,1000,1249,52000,64999
30900,3,4,value,1000,1249,52000,64999
31000,3,14242,value,1000,1249,52000,64999
31750,3,4,value,1000,1249,52000,64999
31820,3,2302,value,1000,1249,52000,64999
31900,3,302,value,1000,1249,52000,64999
31950,3,7,value,1000,1249,52000,64999
32080,3,2623,value,1000,1249,52000,64999
32250,3,30,value,1000,1249,52000,64999
32260,3,640,value,1000,1249,52000,64999
32270,3,245,value,1000,1249,52000,64999
32310,3,188,value,1000,1249,52000,64999
32330,3,35,value,1000,1249,52000,64999
32450,3,27,value,1000,1249,52000,64999
32500,3,62,value,1000,1249,52000,64999
32600,3,3,value,1000,1249,52000,64999
32750,3,0,value,1000,1249,52000,64999
32770,3,22,value,1000,1249,52000,64999
32810,3,194,value,1000,1249,52000,64999
33100,3,10,value,1000,1249,52000,64999
33200,3,26,value,1000,1249,52000,64999
33220,3,2723,value,1000,1249,52000,64999
33360,3,846,value,1000,1249,52000,64999
33430,3,9466,value,1000,1249,52000,64999
33610,3,182,value,1000,1249,52000,64999
33620,3,1258,value,1000,1249,52000,64999
33800,3,229,value,1000,1249,52000,64999
33830,3,13,value,1000,1249,52000,64999
33960,3,3456,value,1000,1249,52000,64999
33980,3,117,value,1000,1249,52000,64999
34420,3,39,value,1000,1249,52000,64999
34530,3,583,value,1000,1249,52000,64999
34570,3,7,value,1000,1249,52000,64999
34580,3,802,value,1000,1249,52000,64999
34590,3,5554,value,1000,1249,52000,64999
34710,3,48,value,1000,1249,52000,64999
34770,3,1637,value,1000,1249,52000,64999
34800,3,6,value,1000,1249,52000,64999
34830,3,3,value,1000,1249,52000,64999
34860,3,170,value,1000,1249,52000,64999
34880,3,426,value,1000,1249,52000,64999
35010,3,7924,value,1000,1249,52000,64999
35250,3,23,value,1000,1249,52000,64999
35300,3,135,value,1000,1249,52000,64999
35600,3,79,value,1000,1249,52000,64999
35670,3,23,value,1000,1249,52000,64999
35740,3,1201,value,1000,1249,52000,64999
35760,3,233,value,1000,1249,52000,64999
35780,3,66,value,1000,1249,52000,64999
35790,3,72,value,1000,1249,52000,64999
35800,3,28,value,1000,1249,52000,64999
36070,3,21,value,1000,1249,52000,64999
36150,3,12,value,1000,1249,52000,64999
36250,3,2461,value,1000,1249,52000,64999
36300,3,17,value,1000,1249,52000,64999
36370,3,1414,value,1000,1249,52000,64999
36510,3,818,value,1000,1249,52000,64999
36580,3,575,value,1000,1249,52000,64999
36630,3,792,value,1000,1249,52000,64999
36660,3,832,value,1000,1249,52000,64999
36720,3,6043,value,1000,1249,52000,64999
36820,3,566,value,1000,1249,52000,64999
36910,3,2990,value,1000,1249,52000,64999
36950,3,32,value,1000,1249,52000,64999
36960,3,120,value,1000,1249,52000,64999
37010,3,2949,value,1000,1249,52000,64999
37300,3,8,value,1000,1249,52000,64999
37310,3,562,value,1000,1249,52000,64999
37340,3,533,value,1000,1249,52000,64999
37400,3,14,value,1000,1249,52000,64999
37550,3,23,value,1000,1249,52000,64999
37570,3,8,value,1000,1249,52000,64999
37600,3,80,value,1000,1249,52000,64999
39799,3,0,value,1000,1249,52000,64999
40070,4,190,value,1000,1249,52000,64999
40120,4,540,value,1000,1249,52000,64999
40220,4,718,value,1000,1249,52000,64999
40250,4,64,value,1000,1249,52000,64999
40310,4,465,value,1000,1249,52000,64999
40430,4,63,value,1000,1249,52000,64999
40520,4,242,value,1000,1249,52000,64999
40700,4,515,value,1000,1249,52000,64999
40910,4,974,value,1000,1249,52000,64999
41010,4,51,value,1000,1249,52000,64999
41060,4,2060,value,1000,1249,52000,64999
41140,4,192,value,1000,1249,52000,64999
41190,4,37,value,1000,1249,52000,64999
41330,4,24,value,1000,1249,52000,64999
41560,4,374,value,1000,1249,52000,64999
41750,4,29,value,1000,1249,52000,64999
41830,4,36,value,1000,1249,52000,64999
41960,4,26,value,1000,1249,52000,64999
42030,4,489,value,1000,1249,52000,64999
42110,4,87,value,1000,1249,52000,64999
42250,4,139,value,1000,1249,52000,64999
42600,4,545,value,1000,1249,52000,64999
42750,4,108,value,1000,1249,52000,64999
43080,4,26,value,1000,1249,52000,64999
43220,4,14,value,1000,1249,52000,64999
43360,4,57,value,1000,1249,52000,64999
43650,4,244,value,1000,1249,52000,64999
43710,4,107,value,1000,1249,52000,64999
43790,4,275,value,1000,1249,52000,64999
43920,4,172,value,1000,1249,52000,64999
44000,4,0,value,1000,1249,52000,64999
44060,4,1717,value,1000,1249,52000,64999
44210,4,209,value,1000,1249,52000,64999
44340,4,884,value,1000,1249,52000,64999
44550,4,581,value,1000,1249,52000,64999
44620,4,542,value,1000,1249,52000,64999
44830,4,64,value,1000,1249,52000,64999
45040,4,500,value,1000,1249,52000,64999
45090,4,179,value,1000,1249,52000,64999
45120,4,88,value,1000,1249,52000,64999
45290,4,506,value,1000,1249,52000,64999
45340,4,3669,value,1000,1249,52000,64999
45400,4,22,value,1000,1249,52000,64999
45540,4,49,value,1000,1249,52000,64999
45680,4,2102,value,1000,1249,52000,64999
45890,4,2433,value,1000,1249,52000,64999
46090,4,243,value,1000,1249,52000,64999
46300,4,264,value,1000,1249,52000,64999
46450,4,398,value,1000,1249,52000,64999
